epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,1567.46,1.19388,1.49759,0.01258,0.50853,0.54617,0.52439,0.37225,1.24481,1.58804,0.01702,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018
47,1601.36,1.20241,1.51512,0.01275,0.56389,0.53727,0.55804,0.39902,1.24585,1.53126,0.01699,0.00254657,0.000848856,0.00254657,0.000848856,0.00254657,0.000848856,0.00254657,0.000848856
48,1634.82,1.216,1.48102,0.01215,0.59172,0.52291,0.54565,0.38689,1.23689,1.57935,0.01675,0.00252777,0.000842589,0.00252777,0.000842589,0.00252777,0.000842589,0.00252777,0.000842589
49,1668.64,1.19985,1.46775,0.0125,0.54644,0.55248,0.5396,0.38616,1.23285,1.56699,0.01681,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622
50,1701.38,1.21618,1.43995,0.01222,0.53619,0.50746,0.52415,0.37352,1.23516,1.59272,0.01679,0.00248925,0.000829749,0.00248925,0.000829749,0.00248925,0.000829749,0.00248925,0.000829749
51,1734.55,1.18389,1.43172,0.01252,0.5457,0.54436,0.55203,0.39154,1.24861,1.52551,0.01684,0.00246954,0.00082318,0.00246954,0.00082318,0.00246954,0.00082318,0.00246954,0.00082318
52,1768.47,1.20015,1.40909,0.01226,0.53358,0.55352,0.54363,0.38612,1.23594,1.53808,0.01677,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514
53,1801.94,1.19072,1.36854,0.01236,0.5417,0.55551,0.55413,0.39387,1.2601,1.50915,0.01721,0.00242926,0.000809752,0.00242926,0.000809752,0.00242926,0.000809752,0.00242926,0.000809752
54,1835.74,1.19014,1.36117,0.01228,0.53985,0.55404,0.54367,0.38624,1.25144,1.5472,0.01713,0.0024087,0.000802898,0.0024087,0.000802898,0.0024087,0.000802898,0.0024087,0.000802898
55,1869.56,1.21434,1.38688,0.01242,0.59117,0.50891,0.54246,0.3877,1.24264,1.5942,0.01697,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954
56,1902.85,1.16669,1.34747,0.01246,0.60865,0.49512,0.53241,0.37994,1.25053,1.59561,0.01686,0.00236676,0.00078892,0.00236676,0.00078892,0.00236676,0.00078892,0.00236676,0.00078892
57,1935.85,1.17614,1.3302,0.01209,0.57487,0.53294,0.55265,0.39672,1.25215,1.57355,0.01703,0.0023454,0.0007818,0.0023454,0.0007818,0.0023454,0.0007818,0.0023454,0.0007818
58,1969.06,1.18856,1.31382,0.01221,0.55574,0.53597,0.54997,0.3943,1.25069,1.56499,0.01699,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596
