Model,Device,Image,IoU,cx_offset,cy_offset,w_offset,h_offset
yolov8m_INT8,CPU,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,0.9598,0.34,5.69,1.63,6.34
yolov8m_INT8,CPU,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,0.9727,0.96,0.83,2.96,3.63
yolov8m_INT8,CPU,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,0.9421,2.71,6.56,8.80,4.52
yolov8m_INT8,CPU,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,0.9832,0.90,1.25,0.35,3.54
yolov8m_INT8,GPU.0,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,0.9214,1.76,0.58,0.51,0.31
yolov8m_INT8,GPU.0,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,0.9427,1.12,5.55,3.03,6.44
yolov8m_INT8,GPU.0,ds2_pepper_bacterial_spot_03_zoom_jpg.rf.085f01aaeca40b9d6cf1630988c5deab.jpg,0.9781,1.07,2.14,1.30,4.27
yolov8m_INT8,GPU.0,ds2_B2650214_Potato_leaf_blight_SPL_jpg.rf.e19f47a1fbc1962cf962c5b7ee2eb945.jpg,0.9856,0.84,0.22,0.25,1.08
yolov8m_INT8,GPU.0,ds1_IMG_1012_JPG.rf.ac6eb00df4a98d3c914e140a57d070f7.jpg,0.9823,1.80,0.06,3.58,6.52
yolov8m_INT8,GPU.0,ds2_stock_photo_peach_leaves_isolated_203326555_jpg.rf.d61ca8f9c8bc782e9ddc246185678604.jpg,0.9442,0.29,0.22,1.85,2.97
