epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,26207.3,0.90538,0.88302,1.20395,0.58033,0.58755,0.5823,0.40654,1.25363,1.49332,1.52789,0.00064144,0.00064144,0.00064144
76,26502.3,0.90217,0.87333,1.20455,0.55257,0.5875,0.58672,0.39829,1.26168,1.51143,1.54031,0.000633115,0.000633115,0.000633115
77,26777.7,0.89944,0.85554,1.20065,0.56194,0.60329,0.58635,0.40848,1.24608,1.52522,1.51696,0.000624751,0.000624751,0.000624751
78,27108.4,0.89234,0.84765,1.19592,0.56929,0.55352,0.56965,0.39127,1.26205,1.55148,1.55442,0.000616351,0.000616351,0.000616351
79,27464.8,0.88354,0.84223,1.18457,0.62681,0.53009,0.59101,0.41325,1.23948,1.52858,1.5231,0.000607916,0.000607916,0.000607916
80,27774.8,0.88581,0.85302,1.19293,0.62195,0.55628,0.59298,0.41332,1.2466,1.4837,1.53132,0.00059945,0.00059945,0.00059945
81,28143.2,0.87387,0.82578,1.18668,0.58003,0.57324,0.57922,0.39263,1.25631,1.5186,1.54364,0.000590956,0.000590956,0.000590956
82,28473.1,0.87138,0.83661,1.18777,0.60117,0.58536,0.57682,0.39687,1.26603,1.52275,1.54309,0.000582435,0.000582435,0.000582435
83,28779.2,0.8784,0.83133,1.18509,0.58455,0.59766,0.59414,0.41275,1.25873,1.49,1.54244,0.000573891,0.000573891,0.000573891
84,29080.5,0.85262,0.79992,1.16669,0.59003,0.5556,0.57938,0.40472,1.25359,1.51767,1.54984,0.000565325,0.000565325,0.000565325
85,29396.1,0.85803,0.79816,1.17624,0.61446,0.56227,0.5844,0.40259,1.27033,1.50259,1.56037,0.000556742,0.000556742,0.000556742
86,29717.5,0.84915,0.79124,1.16573,0.60271,0.56244,0.5731,0.40045,1.25421,1.57566,1.54399,0.000548142,0.000548142,0.000548142
87,30026.5,0.8608,0.79367,1.16381,0.57351,0.59686,0.58934,0.41322,1.26036,1.56801,1.53801,0.000539529,0.000539529,0.000539529
88,30360.6,0.83682,0.75689,1.15788,0.61602,0.55552,0.58527,0.41033,1.25183,1.51534,1.5361,0.000530906,0.000530906,0.000530906
89,30710.5,0.83953,0.76344,1.1544,0.59572,0.57974,0.59146,0.41281,1.26803,1.58359,1.55812,0.000522275,0.000522275,0.000522275
90,31026.9,0.84029,0.76354,1.14951,0.64943,0.56184,0.60179,0.42451,1.27056,1.482,1.54058,0.000513639,0.000513639,0.000513639
91,31377.4,0.83818,0.75607,1.15495,0.61135,0.56394,0.58784,0.41684,1.25545,1.54859,1.5471,0.000505,0.000505,0.000505
