epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,48000,0.98822,0.73647,0.00976,0.6185,0.60335,0.60307,0.42311,1.25413,1.61652,0.01723,0.00248925,0.000829749,0.00248925,0.000829749,0.00248925,0.000829749,0.00248925,0.000829749
51,48968.4,0.95288,0.73723,0.00987,0.71755,0.52919,0.60048,0.42277,1.25305,1.60541,0.01706,0.00246954,0.00082318,0.00246954,0.00082318,0.00246954,0.00082318,0.00246954,0.00082318
52,49926.1,0.97008,0.71736,0.00973,0.62053,0.55755,0.58264,0.41064,1.25179,1.64682,0.017,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514
53,50871.7,0.95224,0.69644,0.00972,0.63736,0.55775,0.58376,0.41635,1.25023,1.69922,0.01694,0.00242926,0.000809752,0.00242926,0.000809752,0.00242926,0.000809752,0.00242926,0.000809752
54,51826.3,0.94683,0.70817,0.00958,0.60829,0.57667,0.60069,0.4239,1.2499,1.60714,0.01689,0.0024087,0.000802898,0.0024087,0.000802898,0.0024087,0.000802898,0.0024087,0.000802898
55,52771.8,0.96542,0.7108,0.00962,0.63419,0.58691,0.60771,0.43614,1.25605,1.63416,0.01708,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954
56,53723.4,0.93346,0.69682,0.00979,0.64022,0.58434,0.60821,0.43444,1.25357,1.62109,0.01702,0.00236676,0.00078892,0.00236676,0.00078892,0.00236676,0.00078892,0.00236676,0.00078892
57,54680.4,0.93379,0.68138,0.00944,0.65372,0.55657,0.59552,0.42081,1.25797,1.61917,0.01704,0.0023454,0.0007818,0.0023454,0.0007818,0.0023454,0.0007818,0.0023454,0.0007818
58,55622.3,0.93248,0.68516,0.00945,0.66437,0.57614,0.61611,0.43316,1.26445,1.58775,0.01724,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596
59,56578.3,0.92417,0.67584,0.00928,0.65186,0.55175,0.58893,0.41837,1.26471,1.68756,0.01731,0.00230193,0.00076731,0.00230193,0.00076731,0.00230193,0.00076731,0.00230193,0.00076731
60,57562.6,0.94017,0.68255,0.00941,0.62491,0.60274,0.61857,0.44556,1.24676,1.58975,0.01683,0.00227983,0.000759944,0.00227983,0.000759944,0.00227983,0.000759944,0.00227983,0.000759944
61,58522.7,0.91928,0.6741,0.00925,0.60057,0.59084,0.60244,0.43002,1.26328,1.67308,0.01699,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
62,59481.1,0.91286,0.66533,0.00938,0.62068,0.59208,0.60508,0.43222,1.26129,1.65379,0.01707,0.00223494,0.000744981,0.00223494,0.000744981,0.00223494,0.000744981,0.00223494,0.000744981
63,60457.1,0.90829,0.65761,0.00918,0.64837,0.57652,0.61166,0.43582,1.27242,1.70237,0.01724,0.00221217,0.000737388,0.00221217,0.000737388,0.00221217,0.000737388,0.00221217,0.000737388
64,61415.1,0.92616,0.66438,0.00912,0.64979,0.55052,0.58964,0.42199,1.25827,1.71657,0.01688,0.00218918,0.000729725,0.00218918,0.000729725,0.00218918,0.000729725,0.00218918,0.000729725
65,62390.9,0.89497,0.64636,0.00895,0.64437,0.57023,0.61144,0.43723,1.27106,1.6708,0.01719,0.00216598,0.000721994,0.00216598,0.000721994,0.00216598,0.000721994,0.00216598,0.000721994
66,63384.2,0.88831,0.63781,0.009,0.65753,0.57416,0.60971,0.43913,1.2609,1.76955,0.01712,0.00214259,0.000714196,0.00214259,0.000714196,0.00214259,0.000714196,0.00214259,0.000714196
67,64341.9,0.9004,0.63615,0.00909,0.66984,0.55006,0.60094,0.43134,1.26465,1.69777,0.01711,0.002119,0.000706335,0.002119,0.000706335,0.002119,0.000706335,0.002119,0.000706335
68,65316.9,0.89199,0.63108,0.00893,0.64529,0.58397,0.61853,0.44283,1.24682,1.68166,0.01673,0.00209524,0.000698412,0.00209524,0.000698412,0.00209524,0.000698412,0.00209524,0.000698412
69,66280.3,0.89057,0.62848,0.0087,0.62703,0.57586,0.61277,0.43445,1.26803,1.72519,0.01713,0.00207129,0.00069043,0.00207129,0.00069043,0.00207129,0.00069043,0.00207129,0.00069043
70,67238.9,0.89086,0.62571,0.00889,0.69199,0.54988,0.61377,0.44139,1.27358,1.71967,0.01718,0.00204718,0.000682392,0.00204718,0.000682392,0.00204718,0.000682392,0.00204718,0.000682392
