epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,2299.12,1.11134,0.93272,0.0113,0.59753,0.57904,0.5958,0.4231,1.23887,1.48997,0.0168,0.00258322,0.000861073,0.00258322,0.000861073,0.00258322,0.000861073,0.00258322,0.000861073
46,2349.37,1.07812,0.89919,0.01124,0.6079,0.60157,0.60604,0.42829,1.23882,1.52024,0.01669,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018
47,2400.17,1.0925,0.90537,0.01148,0.58175,0.58466,0.59278,0.42717,1.23899,1.50939,0.01666,0.00254657,0.000848856,0.00254657,0.000848856,0.00254657,0.000848856,0.00254657,0.000848856
48,2451.02,1.10024,0.89939,0.01088,0.6007,0.56671,0.5907,0.41817,1.25589,1.52809,0.01726,0.00252777,0.000842589,0.00252777,0.000842589,0.00252777,0.000842589,0.00252777,0.000842589
49,2501.36,1.07947,0.87898,0.01104,0.62645,0.56105,0.59396,0.42711,1.24188,1.55857,0.01706,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622
50,2551.4,1.09964,0.87229,0.01093,0.61038,0.59046,0.60285,0.42737,1.24493,1.5688,0.01702,0.00248925,0.000829749,0.00248925,0.000829749,0.00248925,0.000829749,0.00248925,0.000829749
51,2600.49,1.06121,0.86304,0.01105,0.66184,0.55916,0.60783,0.43677,1.2541,1.55871,0.01719,0.00246954,0.00082318,0.00246954,0.00082318,0.00246954,0.00082318,0.00246954,0.00082318
52,2651.22,1.07475,0.85761,0.01086,0.62568,0.55717,0.58642,0.42105,1.22606,1.57761,0.01641,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514
53,2702.28,1.05774,0.83204,0.01078,0.6237,0.57662,0.61218,0.43671,1.25295,1.50943,0.01705,0.00242926,0.000809752,0.00242926,0.000809752,0.00242926,0.000809752,0.00242926,0.000809752
54,2752.34,1.05738,0.84582,0.01076,0.63148,0.56442,0.6051,0.43167,1.25286,1.55305,0.01704,0.0024087,0.000802898,0.0024087,0.000802898,0.0024087,0.000802898,0.0024087,0.000802898
55,2802.59,1.0813,0.85394,0.01083,0.64422,0.57562,0.61012,0.43583,1.24986,1.58047,0.01697,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954
56,2852.72,1.04339,0.8316,0.01108,0.62803,0.57482,0.59841,0.42734,1.25292,1.55986,0.01705,0.00236676,0.00078892,0.00236676,0.00078892,0.00236676,0.00078892,0.00236676,0.00078892
